Protein A;Gene A;Taxon A;Protein B;Gene B;Taxon B;Score;PMID
Q5T447;HECTD3;9606;P04637;TP53;9606;0.309;23358872 
P97571;CAPN1 {ECO:0000312|RGD:2267};10116;P04637;TP53;9606;0.309;22711986 
P29320;EPHA3;9606;P04637;TP53;9606;0.309;15355990 
Q5TB80;CEP162;9606;Q13625;TP53BP2;9606;0.126;26638075 
Q00535;CDK5;9606;P04637;TP53;9606;0.569;17591690 
P36778;E2 {ECO:0000255|HAMAP-RULE:MF_04001};10614;P04637;TP53;9606;0.126;22761572 
P36780;E2 {ECO:0000255|HAMAP-RULE:MF_04001};10621;P04637;TP53;9606;0.126;22761572 
P36791;E2 {ECO:0000255|HAMAP-RULE:MF_04001};333763;P04637;TP53;9606;0.126;22761572 
P36873;PPP1CC;9606;P04637;TP53;9606;0.332;17274640 
P36956;SREBF1;9606;P04637;TP53;9606;0.21;22265415 
Q60953;PML;10090;P04637;TP53;9606;0.21;21057547 
P36957;DLST;9606;P04637;TP53;9606;0.126;29128334 
P34925;RYK;9606;P04637;TP53;9606;0.126;21875946 
P34931;HSPA1L;9606;P04637;TP53;9606;0.445;17184779 23443559 25241761 
Q61846;MELK;10090;P04637;TP53;9606;0.21;23747528 
P35251;RFC1;9606;P04637;TP53;9606;0.21;12509469 
Q12824;SMARCB1;9606;P04637;TP53;9606;0.671;11950834 
P50454;SERPINH1;9606;P04637;TP53;9606;0.21;17977830 
Q13625;TP53BP2;9606;Q12840;KIF5A;9606;0.286;16169070 
Q12873;CHD3;9606;P04637;TP53;9606;0.309;10961991 
Q64364;CDKN2A;10090;P04637;TP53;9606;0.033;9529248 
Q13029;PRDM2;9606;P04637;TP53;9606;0.21;20594067 
Q69549;U14;32603;P04637;TP53;9606;0.21;26340541 
Q13098;GPS1;9606;P04637;TP53;9606;0.126;11285227 
Q13625;TP53BP2;9606;Q13107;USP4;9606;0.286;16169070 
Q13625;TP53BP2;9606;Q09472;EP300;9606;0.507;21513714 
Q504Q3;PAN2;9606;P04637;TP53;9606;0.126;23398456 
Q15326;ZMYND11;9606;P04637;TP53;9606;0.21;17721438 
Q13625;TP53BP2;9606;P35569;IRS1;10090;0.376;17965023 
Q13625;TP53BP2;9606;P35570;IRS1;10116;0.702;17965023 
Q15392;DHCR24;9606;P04637;TP53;9606;0.21;15577914 
Q13283;G3BP1;9606;P04637;TP53;9606;0.569;17297477 
P38531;HSF3;9031;P04637;TP53;9606;0.21;10747903 
Q15486;GUSBP1;9606;P04637;TP53;9606;0.126;16169070 
Q13330;MTA1;9606;P04637;TP53;9606;0.794;19837670 17914590 20071335 12920132 
Q13972;RASGRF1;9606;P04637;TP53;9606;0.21;16753148 
